mz,exp_int,the_int,annotation,HNas
218.5876007080078,0.1696,0.0,[],[]
218.78810119628906,0.1318,0.0,[],[]
218.9856,10.1517,8.551788475902612,"[(28, 5)]","[[7, 2]]"
219.02479553222656,0.0625,0.0,[],[]
219.18429565429688,3.6491,2.7661133543362815,"[(28, 5)]","[[7, 2]]"
219.3834991455078,3.8025,2.944491725875288,"[(28, 5)]","[[7, 2]]"
219.58389282226562,0.9496,0.8407032265688954,"[(28, 5)]","[[7, 2]]"
219.78329467773438,0.3213,0.4553971215268347,"[(28, 5)]","[[7, 2]]"
222.19200134277344,0.2145,0.0,[],[]
222.39259338378906,0.4152,0.0,[],[]
222.58580017089844,0.2811,0.0,[],[]
222.78640747070312,0.0703,0.0,[],[]
222.985595703125,0.2929,0.0,[],[]
223.0081024169922,0.2686,0.0,[],[]
223.385498046875,0.0645,0.0,[],[]
223.5081024169922,0.0771,0.0,[],[]
226.58999633789062,0.2673,0.0,[],[]
226.98980712890625,0.5256,0.0,[],[]
227.19020080566406,0.0628,0.0,[],[]
227.51080322265625,0.1881,0.0,[],[]
228.50559997558594,0.0713,0.0,[],[]
229.0054931640625,0.1239,0.0,[],[]
230.98789978027344,0.0925,0.0,[],[]
233.00819396972656,0.0566,0.0,[],[]
233.25900268554688,0.1109,0.0,[],[]
238.01339721679688,0.1529,0.0,[],[]
238.97689819335938,0.4528,0.0,[],[]
239.00819396972656,0.6395,0.0,[],[]
239.99029541015625,0.1274,0.0,[],[]
240.00830078125,0.6254,0.0,[],[]
242.99729919433594,4.1851,2.3420821328246877,"[(24, 3)]","[[4, 0]]"
243.1757049560547,0.118,0.0,[],[]
243.2480926513672,1.1662,0.7363852960314812,"[(24, 3)]","[[4, 0]]"
243.4971923828125,0.9907,0.6805039967787561,"[(24, 3)]","[[4, 0]]"
243.74769592285156,0.1908,0.1863556520427043,"[(24, 3)]","[[4, 0]]"
243.99710083007812,0.0558,0.08738483302209303,"[(24, 3)]","[[4, 0]]"
246.9792938232422,0.0939,0.0,[],[]
247.5,3.0708,0.9963935028832812,"[(7, 3)]","[[4, 0]]"
247.75070190429688,0.286,0.31388991996249477,"[(7, 3)]","[[4, 0]]"
