mz,exp_int,the_int,annotation,HNas
248.74549865722656,0.6833,0.13330697739474975,"[(24, 4)]","[[5, 1]]"
248.99459838867188,0.5028,0.12319085050245802,"[(24, 4)]","[[5, 1]]"
249.4945068359375,0.5681,0.01581917512896962,"[(24, 4)]","[[5, 1]]"
252.99740600585938,0.3972,0.3920753916174098,"[(7, 4)]","[[5, 1]]"
253.2480926513672,0.1111,0.12351396605650986,"[(7, 4)]","[[5, 1]]"
253.4986,0.1134,0.11480093086670867,"[(7, 4)]","[[5, 1]]"
253.9947,1.1229,1.1470268197579232,"[(7, 4), (24, 5)]","[[5, 1], [6, 2]]"
254.2429962158203,0.491,0.35596309508506646,"[(24, 5)]","[[6, 2]]"
254.49209594726562,0.2522,0.32895049672579063,"[(24, 5)]","[[6, 2]]"
254.99200439453125,0.27,0.042241168846894196,"[(24, 5)]","[[6, 2]]"
258.0025939941406,0.1125,0.09487975103227822,"[(10, 3)]","[[4, 0]]"
258.4949035644531,1.3072,1.1972705340709722,"[(7, 5)]","[[6, 2]]"
258.74560546875,0.2201,0.3771714197508309,"[(7, 5)]","[[6, 2]]"
258.96649169921875,0.0618,0.04801354690253562,"[(13, 13)]","[[8, 3]]"
258.996,0.1674,0.3505646484050487,"[(7, 5)]","[[6, 2]]"
262.98651123046875,1.8921,1.672500794876031,"[(28, 6)]","[[4, 0]]"
263.2372131347656,0.1419,0.5409776910269455,"[(28, 6)]","[[4, 0]]"
263.4862976074219,0.3114,0.5758637232327634,"[(28, 6)]","[[4, 0]]"
263.7367858886719,0.15,0.16441903569684765,"[(28, 6)]","[[4, 0]]"
263.9861145019531,0.0735,0.0890634806840797,"[(28, 6)]","[[4, 0]]"
264.38238525390625,0.0551,0.05136995842608369,"[(5, 0)]","[[3, 0]]"
265.49468994140625,0.0792,0.00018894095205241096,"[(29, 5)]","[[6, 2]]"
267.9888916015625,0.2286,0.029572003958272846,"[(9, 6)]","[[4, 0]]"
268.239501953125,0.1046,0.008463194694960855,"[(9, 6)]","[[4, 0]]"
268.4864,4.5562,4.315870317070752,"[(9, 6), (28, 7)]","[[4, 0], [5, 1]]"
268.7347106933594,1.3819,1.3944962166888264,"[(28, 7)]","[[5, 1]]"
268.98370361328125,0.7998,1.4844231041246976,"[(28, 7)]","[[5, 1]]"
269.23431396484375,0.4641,0.42382842589244385,"[(28, 7)]","[[5, 1]]"
269.2481994628906,0.2944,0.028331315259970728,"[(10, 5)]","[[6, 2]]"
269.4834899902344,0.0929,0.22958190128565084,"[(28, 7)]","[[5, 1]]"
272.9866027832031,0.1893,0.17188268405361362,"[(9, 7)]","[[5, 1]]"
273.7369079589844,0.054,0.0170479520175371,"[(9, 7)]","[[5, 1]]"
273.9838,10.6251,10.35080072278632,"[(9, 7), (28, 8)]","[[5, 1], [6, 2]]"
274.2320861816406,3.152,3.345008516658288,"[(28, 8)]","[[6, 2]]"
274.481201171875,3.0392,3.560718104643985,"[(28, 8)]","[[6, 2]]"
274.731689453125,0.6873,1.0166464973124085,"[(28, 8)]","[[6, 2]]"
274.9809875488281,0.4997,0.5507031183595307,"[(28, 8)]","[[6, 2]]"
277.03118896484375,0.2167,0.19474288986550992,"[(2, 1)]","[[3, 0]]"
278.4841003417969,0.2525,0.2804179901499775,"[(9, 8)]","[[6, 2]]"
278.9837951660156,0.073,0.09718346591812915,"[(9, 8)]","[[6, 2]]"
279.4813,11.9905,10.774044050902214,"[(9, 8), (28, 9)]","[[6, 2], [7, 3]]"
279.7210998535156,3.3933,0.00026753351427246205,"[(16, 0)]","[[3, 0]]"
279.9786071777344,3.4915,3.7044276049700775,"[(28, 9)]","[[7, 3]]"
280.22918701171875,0.8201,1.0576780409065192,"[(28, 9)]","[[7, 3]]"
280.4783935546875,0.6302,0.5729293288152955,"[(28, 9)]","[[7, 3]]"
283.98150634765625,0.3113,0.25743703002019863,"[(9, 9)]","[[7, 3]]"
284.9811096191406,0.0848,0.013906302488828124,"[(9, 9)]","[[7, 3]]"
288.9866943359375,0.0658,0.0812026555316761,"[(12, 8)]","[[6, 2]]"
289.48651123046875,0.0748,0.02890486714796232,"[(12, 8)]","[[6, 2]]"
289.98638916015625,0.1254,0.004628283849464605,"[(12, 8)]","[[6, 2]]"
