0,1,2
402.69555,10537.5,0.1019
402.7088,536.4,0.0052
402.72073,271.3,0.0026
402.73609,837.3,0.0081
402.83816,8010.5,0.0775
402.86004,801.3,0.0078
402.89182,123,0.0012
402.90411,119.9,0.0012
402.92014,105.8,0.001
402.98099,4340.7,0.042
403.0006,637,0.0062
403.01737,2384,0.0231
403.1237,2754.6,0.0266
403.13932,225.4,0.0022
403.15671,136.3,0.0013
403.23727,129.9,0.0013
403.24887,156.2,0.0015
403.26629,1131.3,0.0109
403.30185,109.4,0.0011
403.36367,121.8,0.0012
403.40887,531.6,0.0051
403.50027,223.1,0.0022
403.51093,109,0.0011
403.55182,236,0.0023
403.57316,122.9,0.0012
403.62647,264.5,0.0026
403.75145,323.9,0.0031
403.78018,1910.5,0.0185
403.86103,118.7,0.0011
403.87821,210.2,0.002
403.8916,2293.3,0.0222
404.00276,3505,0.0339
404.01867,193.1,0.0019
404.11379,2622,0.0254
404.12645,166,0.0016
404.22471,2096.1,0.0203
404.25238,185.4,0.0018
404.26173,137.5,0.0013
404.28067,128.9,0.0012
404.33624,1508.8,0.0146
404.35347,257.9,0.0025
404.37263,179.3,0.0017
404.38603,138.7,0.0013
404.40637,146.6,0.0014
404.44707,1061.8,0.0103
404.48426,402,0.0039
404.49842,164.5,0.0016
404.5116,280.2,0.0027
404.52891,212,0.0021
404.55709,552.5,0.0053
404.60807,322.9,0.0031
404.62421,197.3,0.0019
404.6379,327.3,0.0032
404.6576,350.2,0.0034
404.6703,278.2,0.0027
404.71034,108.3,0.001
404.73746,731.7,0.0071
404.76118,176.6,0.0017
404.77258,278.5,0.0027
404.7805,300.4,0.0029
404.83844,126.6,0.0012
404.86354,831.5,0.008
404.88605,313.9,0.003
404.90342,137.4,0.0013
404.95326,1211.8,0.0117
404.98848,1070.9,0.0104
405.01535,560.7,0.0054
405.03211,128,0.0012
405.11321,771.6,0.0075
405.13989,224.2,0.0022
405.23927,811.1,0.0078
405.26632,108.1,0.001
405.36477,465.4,0.0045
405.4065,236.2,0.0023
405.43725,118,0.0011
405.48909,402.8,0.0039
405.55049,134,0.0013
405.56853,135,0.0013
405.59025,144.6,0.0014
405.61322,214.8,0.0021
405.68189,170.6,0.0017
405.69269,295.5,0.0029
405.73582,228,0.0022
405.77863,127.4,0.0012
405.79249,230.6,0.0022
405.87636,217.9,0.0021
405.97841,115.9,0.0011
405.99497,512,0.005
406.01575,171.4,0.0017
406.10675,701.1,0.0068
406.12408,150.6,0.0015
406.1379,113.3,0.0011
406.21755,788.5,0.0076
406.23671,120.4,0.0012
406.32915,768.7,0.0074
406.43908,610.6,0.0059
406.48244,160.2,0.0015
406.51163,110.2,0.0011
406.55039,461.7,0.0045
406.60543,128.7,0.0012
406.66207,316.3,0.0031
406.73172,140.2,0.0014
406.75187,306.2,0.003
406.77297,210.9,0.002
406.85274,150.8,0.0015
406.86426,217,0.0021
406.8794,326.2,0.0032
406.89021,232.9,0.0023
406.89624,268.2,0.0026
406.95024,3399.4,0.0329
406.99009,21059.9,0.2037
407.0027,444.3,0.0043
407.01976,340.1,0.0033
407.11544,21540.6,0.2083
407.12881,1302.3,0.0126
407.24021,27998.3,0.2708
407.25398,326.9,0.0032
407.27226,479.8,0.0046
407.33557,106.8,0.001
407.36533,21206.9,0.2051
407.37901,423,0.0041
407.39714,134.6,0.0013
407.41517,942.9,0.0091
407.49018,16918.9,0.1636
407.50371,306.9,0.003
407.52236,123.1,0.0012
407.55868,481.7,0.0047
407.61503,10221.1,0.0989
407.6283,331.7,0.0032
407.70038,450.4,0.0044
407.73999,5726.4,0.0554
407.75978,214.7,0.0021
407.77513,126.4,0.0012
407.78561,134.7,0.0013
407.84428,166.8,0.0016
407.86495,2731.3,0.0264
407.87889,115.7,0.0011
407.88949,107,0.001
407.98956,1640.6,0.0159
408.00667,220.5,0.0021
408.02359,132.1,0.0013
408.1143,644.8,0.0062
408.13973,304.4,0.0029
408.16252,195.4,0.0019
408.21823,127.8,0.0012
408.23015,197.1,0.0019
408.23999,335.3,0.0032
408.28653,134.7,0.0013
408.29877,154.9,0.0015
408.33034,165.7,0.0016
408.35593,119.1,0.0012
408.36458,147.5,0.0014
408.42729,203.5,0.002
408.43892,346.9,0.0034
408.44606,324.7,0.0031
408.54877,114.9,0.0011
408.57872,288.9,0.0028
408.59123,196,0.0019
408.6572,134.3,0.0013
408.72034,209.8,0.002
408.73498,177.3,0.0017
408.75265,118.3,0.0011
408.78316,118.3,0.0011
408.85533,107.6,0.001
408.86538,210.1,0.002
408.88205,202.9,0.002
408.94725,2510.9,0.0243
408.97502,103.6,0.001
408.99056,616.6,0.006
409.00486,743.4,0.0072
409.11467,492.1,0.0048
409.12946,929.9,0.009
